hos_event_id,hos_home,hos_home_id,hos_home_cid,hos_away,hos_away_id,hos_away_cid
e9eaf8c0-28ee-4176-a766-a5151e3fe980,Indiana Hoosiers,8e5a54c2-8fd9-4b3b-95c3-ccbca0d85804,8e5a54c2-8fd9-4b3b-95c3-ccbca0d85804,Minnesota Golden Gophers,fda0805a-1fd7-466a-8c0c-6215dcc0fb3a,fda0805a-1fd7-466a-8c0c-6215dcc0fb3a
127b1325-bd43-4e73-80cc-9c3e1b74f1ac,Providence Friars,751876f4-04ac-4d98-b269-888328fa1bcf,751876f4-04ac-4d98-b269-888328fa1bcf,Marquette Golden Eagles,39ada210-bd7f-41ee-ae8f-c9ed3821ab29,39ada210-bd7f-41ee-ae8f-c9ed3821ab29
1cdae314-26ed-49d2-9ff9-4f3441eef90c,George Washington Revolutionaries,a1292433-bf11-45d1-8be3-d712a3b35af5,a1292433-bf11-45d1-8be3-d712a3b35af5,St. Bonaventure Bonnies,619e61d3-1974-45e8-842a-c4676205c9f7,619e61d3-1974-45e8-842a-c4676205c9f7
5306d186-76dc-43e5-90fc-29f4d90cbf3d,Southern Methodist Mustangs,e672e9e8-f342-4935-a097-9d6639361199,e672e9e8-f342-4935-a097-9d6639361199,Miami Hurricanes,a860ee7b-596d-4dca-9b95-3082bef7c6b2,a860ee7b-596d-4dca-9b95-3082bef7c6b2
92b3ed60-725c-481e-9187-e0e95d12158a,Charlotte 49ers,ecd5558d-9975-4abc-bacd-d185d6db5fe6,ecd5558d-9975-4abc-bacd-d185d6db5fe6,Alabama Birmingham Blazers,539c2f06-9114-4683-8880-785ee95ef800,539c2f06-9114-4683-8880-785ee95ef800
bbc0a854-9660-425b-a544-3207fbcf6ac0,Arkansas Razorbacks,d65b488b-bab2-46c8-8717-ca35a731591f,d65b488b-bab2-46c8-8717-ca35a731591f,Texas Longhorns,4db9da99-8e8f-445c-a9d5-344daff6bb89,4db9da99-8e8f-445c-a9d5-344daff6bb89
c2ab2fe1-7ad1-4a84-8556-d0c7d5bdd778,Georgia Tech Yellow Jackets,58d5f7a7-cb50-4c9a-8775-5665b6d79141,58d5f7a7-cb50-4c9a-8775-5665b6d79141,California Berkeley Golden Bears,2d1a46ff-c7aa-4ba2-ab3d-900b2aa03baa,2d1a46ff-c7aa-4ba2-ab3d-900b2aa03baa
daac1b37-5835-42cf-b30b-6ed38a923a78,Rhode Island Rams,70a2a29b-b873-4f06-9bf5-51820c9daa7f,70a2a29b-b873-4f06-9bf5-51820c9daa7f,Duquesne Dukes,e356504c-0d22-49d8-a4ba-0e23b22d6421,e356504c-0d22-49d8-a4ba-0e23b22d6421
5931adee-c11e-4f50-8592-a8aba3bcae43,Penn State Nittany Lions,fac2ef41-62a9-43b2-8d65-4e9b6ce4bcda,fac2ef41-62a9-43b2-8d65-4e9b6ce4bcda,Ohio State Buckeyes,46e5938d-9e0d-4628-9030-fec405173f62,46e5938d-9e0d-4628-9030-fec405173f62
7eb715c9-6b07-4f21-a6c2-f9cb1b84cf66,Wisconsin Badgers,44bb3647-99eb-4a04-86bb-33c09d6dee3e,44bb3647-99eb-4a04-86bb-33c09d6dee3e,Maryland Terrapins,9c9671b0-ba41-45cb-9e8b-9f999ab0d97e,9c9671b0-ba41-45cb-9e8b-9f999ab0d97e
958139d3-973d-4b16-9eb2-a6305eef56b4,North Texas Mean Green,291453d9-fb5b-4c63-9c8a-b4f89957548a,291453d9-fb5b-4c63-9c8a-b4f89957548a,Rice Owls,ba97c4c2-6669-458e-8bb9-a683fc007b4f,ba97c4c2-6669-458e-8bb9-a683fc007b4f
